sample_ID,seq_ID
481.1,P4_P1B04
481.1,P4_P2A08
481.1,P4_P2C08
487.2,P3_P1G05
487.2,P3_P2D09
495.1,P3_P2F09
495.3,P4_P1B05
495.3,P4_P2A09
495.3,P4_P2G07
496.1,P4_P1G02
497.3,P3_P2E10
497.3,P3_P2G08
498.3,P3_P2G09
500.1,P3_P2A10
502.2,P3_P2E09
502.2,P3_P2G11
504.1,P4_P1A02
504.3,P4_P1B01
508.2,P3_P2D12
518.1,P3_P2D07
518.1,P4_P1F04
518.2,P3_P2F07
518.2,P3_P2H09
524.1,P3_P2H10
531.1,P3_P2A09
531.1,P4_P1C06
531.1,P4_P2A12
537.1,P3_P2D08
563.4,P3_P2E12
563.4,P3_P2H11
565.1,P4_P2E12
